Id,Gender,Age,Preferences,mobile_phone,Hours,Comm_teacher,Influence_lifestyle,Academic_performance
716,Female,17,Whatsapp,No,7,0,0,1
717,Female,22,Instagram,No,2,1,1,1
718,Female,20,LinkedIn,Yes,5,1,0,1
719,Male,15,Facebook,Yes,4,1,0,1
720,Female,24,Instagram,No,6,0,0,1
721,Female,15,Whatsapp,Yes,4,0,1,0
722,Female,23,Twitter,No,1,1,0,0
723,Female,15,Snapchat,No,6,1,1,0
724,Male,16,Whatsapp,Yes,6,1,1,0
725,Male,19,Snapchat,Yes,1,1,1,0
726,Male,23,Twitter,Yes,8,0,1,0
727,Male,24,Facebook,Yes,8,1,0,1
728,Male,24,Whatsapp,Yes,7,0,1,1
729,Female,23,LinkedIn,Yes,8,0,0,1
730,Female,15,Facebook,Yes,8,0,1,1
731,Male,22,Twitter,No,5,1,0,1
732,Male,17,LinkedIn,No,1,1,1,0
733,Male,15,Instagram,No,3,0,1,0
734,Male,17,Snapchat,No,3,0,0,1
735,Male,16,LinkedIn,No,2,1,1,1
736,Male,18,LinkedIn,Yes,8,1,1,0
737,Male,20,Whatsapp,No,5,1,1,1
738,Male,23,Facebook,Yes,8,0,1,0
739,Female,24,Snapchat,Yes,7,0,1,0
740,Male,21,LinkedIn,Yes,4,1,0,1
741,Female,19,Twitter,No,8,1,1,1
742,Female,24,Whatsapp,Yes,2,0,0,1
743,Male,17,Instagram,Yes,6,1,1,1
744,Male,23,Snapchat,Yes,2,1,1,1
745,Female,21,Whatsapp,No,3,0,0,0
746,Male,22,Whatsapp,No,3,0,1,1
747,Female,23,Whatsapp,No,5,1,1,1
748,Female,17,Facebook,No,7,0,1,0
749,Male,19,Snapchat,Yes,4,1,0,0
750,Female,18,Facebook,No,6,0,0,0
751,Female,23,Snapchat,No,5,1,1,0
752,Female,24,Instagram,No,1,0,1,1
753,Female,22,Whatsapp,Yes,4,0,1,1
754,Male,15,Twitter,No,5,1,0,1
755,Female,23,Instagram,No,6,0,0,1
756,Male,22,Instagram,No,5,1,1,0
757,Female,21,LinkedIn,No,7,0,1,0
758,Female,20,Whatsapp,Yes,4,1,1,0
759,Male,24,Facebook,No,5,1,1,1
760,Male,16,LinkedIn,Yes,7,1,0,0
761,Female,15,Facebook,No,4,0,1,1
762,Male,16,Snapchat,No,1,1,0,1
763,Male,23,Twitter,Yes,2,1,1,1
764,Male,15,Instagram,Yes,3,0,0,0
765,Female,18,Facebook,No,7,1,0,0
766,Female,15,Facebook,No,3,1,1,1
767,Female,17,Whatsapp,No,8,0,0,1
768,Male,24,Facebook,No,7,0,0,0
769,Female,22,Snapchat,No,4,0,0,1
770,Male,24,LinkedIn,No,5,1,1,0
771,Female,22,LinkedIn,No,5,1,1,1
772,Female,23,LinkedIn,Yes,6,1,1,1
773,Female,23,Whatsapp,No,4,0,1,1
774,Female,21,Instagram,No,8,0,1,1
775,Male,23,LinkedIn,No,2,1,0,0
776,Male,16,LinkedIn,Yes,4,0,0,1
777,Male,19,Whatsapp,Yes,2,0,1,1
778,Female,17,Instagram,No,3,0,0,1
779,Female,19,LinkedIn,Yes,5,1,1,0
780,Female,15,LinkedIn,Yes,8,0,0,0
781,Male,17,Whatsapp,No,1,1,0,0
782,Female,23,Twitter,Yes,1,1,0,1
783,Male,18,Snapchat,Yes,3,0,0,0
784,Male,24,Snapchat,Yes,2,0,1,0
785,Male,17,Facebook,No,8,0,0,1
786,Male,23,LinkedIn,No,8,1,0,0
787,Female,15,Instagram,No,1,1,1,0
788,Female,16,Snapchat,No,3,0,0,1
789,Female,22,Instagram,Yes,6,0,1,1
790,Male,19,Facebook,No,5,0,1,1
791,Male,22,LinkedIn,Yes,4,1,0,0
792,Female,19,Instagram,Yes,6,0,0,1
793,Female,19,Snapchat,No,5,1,0,0
794,Female,15,Instagram,Yes,6,1,1,1
795,Male,19,Snapchat,Yes,1,1,1,0
